ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,timestamp,occupancy_rate,vehicle_weight,traffic_penalty,demand,normalized_demand,dynamic_price,price_change,price_change_percent
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,04-10-2016,07:59:00,2016-10-04 07:59:00,0.10571923743500866,1.0,0.0,0.2845753899480069,0.2845753899480069,11.422876949740035,1.4228769497400346,14.228769497400345
1,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,04-10-2016,08:25:00,2016-10-04 08:25:00,0.11091854419410745,1.0,0.0,0.288734835355286,0.288734835355286,11.44367417677643,1.4436741767764296,14.436741767764296
2,BHMBCCMKT01,577,26.14453614,91.73617216,80,car,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,0.1386481802426343,1.0,0.0,0.41091854419410745,0.41091854419410745,12.054592720970536,2.054592720970536,20.54592720970536
3,BHMBCCMKT01,577,26.14453614,91.73617216,107,car,low,2,0,04-10-2016,09:32:00,2016-10-04 09:32:00,0.1854419410745234,1.0,0.0,0.44835355285961875,0.44835355285961875,12.241767764298093,2.2417677642980927,22.417677642980927
4,BHMBCCMKT01,577,26.14453614,91.73617216,150,bike,low,2,0,04-10-2016,09:59:00,2016-10-04 09:59:00,0.25996533795493937,0.5,0.0,0.4579722703639515,0.4579722703639515,12.289861351819757,2.2898613518197575,22.898613518197575
5,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,low,3,0,04-10-2016,10:26:00,2016-10-04 10:26:00,0.30675909878682844,1.0,0.0,0.6454072790294628,0.6454072790294628,13.227036395147314,3.227036395147314,32.27036395147314
6,BHMBCCMKT01,577,26.14453614,91.73617216,219,truck,high,6,0,04-10-2016,10:59:00,2016-10-04 10:59:00,0.37954939341421146,1.5,1.0,0.8536395147313692,0.8536395147313692,14.268197573656847,4.268197573656847,42.681975736568475
7,BHMBCCMKT01,577,26.14453614,91.73617216,247,car,average,5,0,04-10-2016,11:25:00,2016-10-04 11:25:00,0.42807625649913345,1.0,0.5,0.8424610051993068,0.8424610051993068,14.212305025996535,4.212305025996535,42.12305025996535
8,BHMBCCMKT01,577,26.14453614,91.73617216,259,cycle,average,5,0,04-10-2016,11:59:00,2016-10-04 11:59:00,0.4488734835355286,0.3,0.5,0.7890987868284229,0.7890987868284229,13.945493934142114,3.945493934142114,39.45493934142114
9,BHMBCCMKT01,577,26.14453614,91.73617216,266,bike,high,8,0,04-10-2016,12:29:00,2016-10-04 12:29:00,0.4610051993067591,0.5,1.0,1.0188041594454074,1.0188041594454074,15.094020797227037,5.094020797227037,50.94020797227037
10,BHMBCCMKT01,577,26.14453614,91.73617216,269,car,high,7,0,04-10-2016,13:02:00,2016-10-04 13:02:00,0.4662045060658579,1.0,1.0,0.9729636048526863,0.9729636048526863,14.864818024263432,4.864818024263432,48.64818024263432
11,BHMBCCMKT01,577,26.14453614,91.73617216,263,car,high,7,0,04-10-2016,13:29:00,2016-10-04 13:29:00,0.4558058925476603,1.0,1.0,0.9646447140381283,0.9646447140381283,14.823223570190642,4.823223570190642,48.23223570190642
12,BHMBCCMKT01,577,26.14453614,91.73617216,238,car,high,5,0,04-10-2016,14:02:00,2016-10-04 14:02:00,0.4124783362218371,1.0,1.0,0.7299826689774697,0.7299826689774697,13.649913344887349,3.6499133448873486,36.499133448873486
13,BHMBCCMKT01,577,26.14453614,91.73617216,215,truck,average,3,0,04-10-2016,14:29:00,2016-10-04 14:29:00,0.37261698440207974,1.5,0.5,0.6480935875216639,0.6480935875216639,13.24046793760832,3.2404679376083205,32.40467937608321
14,BHMBCCMKT01,577,26.14453614,91.73617216,192,bike,average,3,0,04-10-2016,14:57:00,2016-10-04 14:57:00,0.3327556325823224,0.5,0.5,0.5162045060658581,0.5162045060658581,12.58102253032929,2.5810225303292906,25.810225303292906
15,BHMBCCMKT01,577,26.14453614,91.73617216,165,car,low,2,0,04-10-2016,15:30:00,2016-10-04 15:30:00,0.28596187175043325,1.0,0.0,0.5287694974003466,0.5287694974003466,12.643847487001734,2.643847487001734,26.43847487001734
16,BHMBCCMKT01,577,26.14453614,91.73617216,162,bike,low,1,0,04-10-2016,16:04:00,2016-10-04 16:04:00,0.2807625649913345,0.5,0.0,0.37461005199306757,0.37461005199306757,11.87305025996534,1.8730502599653391,18.73050259965339
17,BHMBCCMKT01,577,26.14453614,91.73617216,143,car,average,2,0,04-10-2016,16:31:00,2016-10-04 16:31:00,0.24783362218370883,1.0,0.5,0.3982668977469671,0.3982668977469671,11.991334488734836,1.9913344887348359,19.91334488734836
18,BHMBCCMKT01,577,26.14453614,91.73617216,54,car,low,1,0,05-10-2016,07:57:00,2016-10-05 07:57:00,0.09358752166377816,1.0,0.0,0.27487001733102256,0.27487001733102256,11.374350086655113,1.374350086655113,13.74350086655113
19,BHMBCCMKT01,577,26.14453614,91.73617216,59,car,average,1,0,05-10-2016,08:30:00,2016-10-05 08:30:00,0.1022530329289428,1.0,0.5,0.18180242634315424,0.18180242634315424,10.909012131715771,0.9090121317157713,9.090121317157713
20,BHMBCCMKT01,577,26.14453614,91.73617216,71,car,low,2,0,05-10-2016,09:04:00,2016-10-05 09:04:00,0.12305025996533796,1.0,0.0,0.3984402079722704,0.3984402079722704,11.992201039861353,1.992201039861353,19.92201039861353
21,BHMBCCMKT01,577,26.14453614,91.73617216,83,car,average,2,0,05-10-2016,09:30:00,2016-10-05 09:30:00,0.1438474870017331,1.0,0.5,0.3150779896013865,0.3150779896013865,11.575389948006933,1.5753899480069329,15.753899480069327
22,BHMBCCMKT01,577,26.14453614,91.73617216,114,car,low,3,0,05-10-2016,10:04:00,2016-10-05 10:04:00,0.1975736568457539,1.0,0.0,0.5580589254766032,0.5580589254766032,12.790294627383016,2.790294627383016,27.90294627383016
23,BHMBCCMKT01,577,26.14453614,91.73617216,128,truck,high,4,0,05-10-2016,10:30:00,2016-10-05 10:30:00,0.2218370883882149,1.5,1.0,0.5274696707105719,0.5274696707105719,12.63734835355286,2.6373483535528592,26.373483535528592
24,BHMBCCMKT01,577,26.14453614,91.73617216,148,bike,average,4,0,05-10-2016,11:04:00,2016-10-05 11:04:00,0.2564991334488735,0.5,0.5,0.5551993067590989,0.5551993067590989,12.775996533795496,2.775996533795496,27.759965337954963
25,BHMBCCMKT01,577,26.14453614,91.73617216,162,car,average,4,0,05-10-2016,11:30:00,2016-10-05 11:30:00,0.2807625649913345,1.0,0.5,0.6246100519930676,0.6246100519930676,13.12305025996534,3.123050259965339,31.23050259965339
26,BHMBCCMKT01,577,26.14453614,91.73617216,178,car,high,6,0,05-10-2016,12:04:00,2016-10-05 12:04:00,0.30849220103986136,1.0,1.0,0.7467937608318892,0.7467937608318892,13.733968804159446,3.7339688041594457,37.33968804159446
27,BHMBCCMKT01,577,26.14453614,91.73617216,183,car,high,7,0,05-10-2016,12:30:00,2016-10-05 12:30:00,0.317157712305026,1.0,1.0,0.8537261698440209,0.8537261698440209,14.268630849220106,4.268630849220106,42.68630849220106
28,BHMBCCMKT01,577,26.14453614,91.73617216,175,car,high,7,0,05-10-2016,12:57:00,2016-10-05 12:57:00,0.30329289428076256,1.0,1.0,0.8426343154246102,0.8426343154246102,14.213171577123052,4.2131715771230525,42.131715771230525
29,BHMBCCMKT01,577,26.14453614,91.73617216,179,truck,high,6,0,05-10-2016,13:30:00,2016-10-05 13:30:00,0.31022530329289427,1.5,1.0,0.7981802426343155,0.7981802426343155,13.990901213171579,3.990901213171579,39.90901213171579
30,BHMBCCMKT01,577,26.14453614,91.73617216,174,car,average,4,0,05-10-2016,13:57:00,2016-10-05 13:57:00,0.30155979202772965,1.0,0.5,0.6412478336221837,0.6412478336221837,13.206239168110919,3.206239168110919,32.06239168110919
31,BHMBCCMKT01,577,26.14453614,91.73617216,158,car,high,5,0,05-10-2016,14:30:00,2016-10-05 14:30:00,0.2738301559792028,1.0,1.0,0.6190641247833623,0.6190641247833623,13.09532062391681,3.0953206239168107,30.953206239168107
32,BHMBCCMKT01,577,26.14453614,91.73617216,145,car,average,3,0,05-10-2016,14:57:00,2016-10-05 14:57:00,0.2512998266897747,1.0,0.5,0.5010398613518198,0.5010398613518198,12.5051993067591,2.505199306759099,25.051993067590995
33,BHMBCCMKT01,577,26.14453614,91.73617216,129,car,low,2,0,05-10-2016,15:30:00,2016-10-05 15:30:00,0.22357019064124783,1.0,0.0,0.4788561525129983,0.4788561525129983,12.394280762564991,2.394280762564991,23.94280762564991
34,BHMBCCMKT01,577,26.14453614,91.73617216,121,car,low,2,0,05-10-2016,16:04:00,2016-10-05 16:04:00,0.2097053726169844,1.0,0.0,0.46776429809358755,0.46776429809358755,12.338821490467938,2.3388214904679376,23.388214904679376
35,BHMBCCMKT01,577,26.14453614,91.73617216,114,bike,low,1,0,05-10-2016,16:30:00,2016-10-05 16:30:00,0.1975736568457539,0.5,0.0,0.30805892547660313,0.30805892547660313,11.540294627383016,1.540294627383016,15.402946273830159
36,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,low,1,0,06-10-2016,07:57:00,2016-10-06 07:57:00,0.10051993067590988,1.0,0.0,0.28041594454072793,0.28041594454072793,11.40207972270364,1.4020797227036397,14.020797227036397
37,BHMBCCMKT01,577,26.14453614,91.73617216,63,car,low,1,0,06-10-2016,08:30:00,2016-10-06 08:30:00,0.10918544194107452,1.0,0.0,0.2873483535528596,0.2873483535528596,11.436741767764298,1.436741767764298,14.36741767764298
38,BHMBCCMKT01,577,26.14453614,91.73617216,70,car,low,1,0,06-10-2016,08:57:00,2016-10-06 08:57:00,0.12131715771230503,1.0,0.0,0.29705372616984405,0.29705372616984405,11.485268630849221,1.4852686308492213,14.852686308492213
39,BHMBCCMKT01,577,26.14453614,91.73617216,95,car,low,2,0,06-10-2016,09:30:00,2016-10-06 09:30:00,0.16464471403812825,1.0,0.0,0.43171577123050264,0.43171577123050264,12.158578856152513,2.1585788561525128,21.585788561525128
40,BHMBCCMKT01,577,26.14453614,91.73617216,135,car,low,3,0,06-10-2016,10:03:00,2016-10-06 10:03:00,0.2339688041594454,1.0,0.0,0.5871750433275563,0.5871750433275563,12.935875216637783,2.9358752166377826,29.358752166377826
41,BHMBCCMKT01,577,26.14453614,91.73617216,160,car,average,3,0,06-10-2016,10:30:00,2016-10-06 10:30:00,0.2772963604852686,1.0,0.5,0.521837088388215,0.521837088388215,12.609185441941076,2.609185441941076,26.09185441941076
42,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,average,3,0,06-10-2016,10:57:00,2016-10-06 10:57:00,0.30675909878682844,1.0,0.5,0.5454072790294628,0.5454072790294628,12.727036395147312,2.727036395147312,27.27036395147312
43,BHMBCCMKT01,577,26.14453614,91.73617216,191,cycle,average,4,0,06-10-2016,11:30:00,2016-10-06 11:30:00,0.3310225303292894,0.3,0.5,0.5948180242634317,0.5948180242634317,12.97409012131716,2.9740901213171593,29.740901213171593
44,BHMBCCMKT01,577,26.14453614,91.73617216,199,car,high,7,0,06-10-2016,12:04:00,2016-10-06 12:04:00,0.34488734835355284,1.0,1.0,0.8759098786828424,0.8759098786828424,14.379549393414212,4.379549393414212,43.79549393414212
45,BHMBCCMKT01,577,26.14453614,91.73617216,206,car,high,7,0,06-10-2016,12:30:00,2016-10-06 12:30:00,0.35701906412478335,1.0,1.0,0.8856152512998267,0.8856152512998267,14.428076256499134,4.428076256499134,44.280762564991335
46,BHMBCCMKT01,577,26.14453614,91.73617216,198,car,average,5,0,06-10-2016,12:57:00,2016-10-06 12:57:00,0.3431542461005199,1.0,0.5,0.7745233968804159,0.7745233968804159,13.872616984402079,3.872616984402079,38.72616984402079
