ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,timestamp,occupancy_rate,hour,is_weekend,is_peak_hour,dynamic_price,price_change,price_change_percent
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,04-10-2016,07:59:00,2016-10-04 07:59:00,0.10571923743500866,7,0,0,10.634315424610053,0.6343154246100529,6.343154246100529
1,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,04-10-2016,08:25:00,2016-10-04 08:25:00,0.11091854419410745,8,0,1,12.26533795493934,2.2653379549393406,22.653379549393406
2,BHMBCCMKT01,577,26.14453614,91.73617216,80,car,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,0.1386481802426343,8,0,1,12.456672443674176,2.456672443674176,24.566724436741758
3,BHMBCCMKT01,577,26.14453614,91.73617216,107,car,low,2,0,04-10-2016,09:32:00,2016-10-04 09:32:00,0.1854419410745234,9,0,1,12.77954939341421,2.779549393414211,27.795493934142108
4,BHMBCCMKT01,577,26.14453614,91.73617216,150,bike,low,2,0,04-10-2016,09:59:00,2016-10-04 09:59:00,0.25996533795493937,9,0,1,13.29376083188908,3.293760831889079,32.937608318890796
5,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,low,3,0,04-10-2016,10:26:00,2016-10-04 10:26:00,0.30675909878682844,10,0,1,13.616637781629114,3.616637781629114,36.16637781629114
6,BHMBCCMKT01,577,26.14453614,91.73617216,219,truck,high,6,0,04-10-2016,10:59:00,2016-10-04 10:59:00,0.37954939341421146,10,0,1,14.118890814558057,4.118890814558057,41.18890814558057
7,BHMBCCMKT01,577,26.14453614,91.73617216,247,car,average,5,0,04-10-2016,11:25:00,2016-10-04 11:25:00,0.42807625649913345,11,0,0,12.5684575389948,2.5684575389947994,25.684575389947994
8,BHMBCCMKT01,577,26.14453614,91.73617216,259,cycle,average,5,0,04-10-2016,11:59:00,2016-10-04 11:59:00,0.4488734835355286,11,0,0,12.693240901213173,2.693240901213173,26.932409012131732
9,BHMBCCMKT01,577,26.14453614,91.73617216,266,bike,high,8,0,04-10-2016,12:29:00,2016-10-04 12:29:00,0.4610051993067591,12,0,0,12.766031195840554,2.7660311958405543,27.660311958405543
